Fecha,Producto,Concentración (N-P-K),N,P,K,Fuente,Municipio,Precio Minimo,Precio Maximo,Precio Frecuente,Obs,Presentacion kg
2026-01-15,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11590,11610,11600,Presentación en bulto de 50 kilos (granulado),1000
2026-02-13,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13810,13848,13810,Presentación en bulto de 50 kilos (granulado),1000
2026-02-13,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13232,13255,13232,Presentación en bulto de 50 kilos (granulado),1000
2026-02-13,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16410,16438,16410,Presentación en bulto de 50 kilos (granulado),1000
2026-02-13,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11420,11445,11420,Presentación en bulto de 50 kilos (granulado),1000
2026-02-13,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,7138,7140,7138,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2026-02-13,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11615,11628,11615,Presentación en bulto de 50 kilos (granulado),1000
2026-03-13,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13200,13220,13220,Presentación en bulto de 50 kilos (granulado),1000
2026-03-13,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13410,13440,13410,Presentación en bulto de 50 kilos (granulado),1000
2026-03-13,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16600,16640,16640,Presentación en bulto de 50 kilos (granulado),1000
2026-03-13,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11630,11690,11690,Presentación en bulto de 50 kilos (granulado),1000
2026-03-13,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,8570,8600,8570,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2026-03-13,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11440,11490,11490,Presentación en bulto de 50 kilos (granulado),1000
